City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,trinity beach,-16.7888,145.6968,294.77,80,5,2.89,AU,1714072948
226,hawaiian paradise park,19.5933,-154.9731,294.95,79,97,5.49,US,1714072697
227,despenaderos,-31.8163,-64.2899,292.04,63,99,3.48,AR,1714072948
228,dhromolaxia,34.8755,33.5868,297.5,46,100,1.45,CY,1714072948
229,lensk,60.7253,114.9278,268.31,96,96,1.34,RU,1714072948
230,baotou,40.6522,109.8222,291.5,15,100,0.24,CN,1714072949
231,caldwell,43.6629,-116.6874,290.19,40,59,3.47,US,1714072949
232,azangaro,-14.9167,-70.2167,290.69,29,99,2.98,PE,1714072949
233,neftcala,39.3742,49.2472,289.33,81,6,4.63,AZ,1714072950
234,taoudenni,22.6783,-3.9836,309.83,8,0,4.15,ML,1714072950
235,rongelap,11.1635,166.8941,300.28,77,80,9.4,MH,1714072950
236,n'zeto,-7.2312,12.8666,300.03,93,95,2.97,AO,1714072951
237,thunder bay,48.4001,-89.3168,280.7,46,4,3.66,CA,1714072951
238,pasni,25.2631,63.471,299.0,88,3,3.63,PK,1714072951
239,itaueira,-7.6033,-43.0256,307.99,35,58,0.85,BR,1714072952
240,santa ana de yacuma,-13.75,-65.4333,304.98,60,92,1.64,BO,1714072952
241,bel ombre,-4.6167,55.4167,299.16,93,100,7.95,SC,1714072952
242,qamdo,31.1667,97.2333,275.69,56,99,2.02,CN,1714072953
243,lompoc,34.6391,-120.4579,289.37,67,80,6.68,US,1714072925
244,narrabri,-30.3167,149.7833,284.48,80,0,3.64,AU,1714072953
245,byron bay,-28.65,153.6167,290.44,89,74,4.26,AU,1714072763
246,taulaga,-11.0553,-171.0883,302.7,66,17,6.34,AS,1714072954
247,pathein,16.7833,94.7333,299.59,87,10,2.97,MM,1714072954
248,sarina,-21.4333,149.2167,293.07,85,0,2.08,AU,1714072954
249,badger,64.8,-147.5333,282.54,56,10,1.34,US,1714072955
250,lubang,13.8584,120.124,302.23,73,2,3.48,PH,1714072955
251,lebu,-37.6167,-73.65,288.32,69,100,4.84,CL,1714072955
252,konosha,60.9736,40.257,281.09,91,100,3.48,RU,1714072956
253,san luis,-33.295,-66.3356,293.36,60,100,1.34,AR,1714072956
254,elverum,60.8819,11.5623,276.29,87,100,1.64,NO,1714072957
255,guilin,25.2819,110.2864,293.93,97,80,0.93,CN,1714072957
256,vernon,50.2581,-119.2691,289.33,38,98,1.03,CA,1714072691
257,porto novo,6.4965,2.6036,301.71,80,1,3.9,BJ,1714072958
258,emerald,-23.5333,148.1667,291.49,45,98,7.99,AU,1714072789
259,santo antonio do monte,-20.0872,-45.2936,301.37,47,11,2.22,BR,1714072958
260,karasu,41.071,30.7854,288.65,81,71,0.31,TR,1714072958
261,zhicheng,30.2956,111.5047,291.81,78,1,1.01,CN,1714072959
262,cacabelos,42.6002,-6.7237,282.78,86,91,1.22,ES,1714072959
263,macusani,-14.0833,-70.4333,285.06,50,100,4.7,PE,1714072959
264,port elizabeth,-33.918,25.5701,290.29,85,100,4.82,ZA,1714072960
265,college,64.8569,-147.8028,282.44,57,12,1.36,US,1714072708
266,prince rupert,54.3161,-130.3201,283.17,61,8,2.73,CA,1714072960
267,pierre,44.3683,-100.351,293.75,59,98,9.11,US,1714072961
268,la sarre,48.8002,-79.1996,277.45,45,26,2.69,CA,1714072961
269,newcastle,-32.9272,151.7765,290.17,71,84,5.71,AU,1714072866
270,champerico,14.3,-91.9167,304.25,64,0,5.31,GT,1714072961
271,loudi,27.7344,111.9944,292.47,95,100,0.93,CN,1714072962
272,shingu,33.7333,135.9833,287.29,71,100,2.23,JP,1714072962
273,sevastopol,44.6,33.5333,290.58,67,100,4.67,UA,1714072962
274,oroqen zizhiqi,50.5667,123.7167,275.88,66,100,5.88,CN,1714072963
275,christchurch,-43.5333,172.6333,283.06,72,100,3.68,NZ,1714072806
276,qui nhon,13.7667,109.2333,298.78,90,9,1.73,VN,1714072963
277,lerwick,60.1545,-1.1494,278.46,83,100,5.02,GB,1714072964
278,portland,45.5234,-122.6762,283.55,97,100,3.42,US,1714072850
279,kathu,7.9178,98.3332,299.85,76,100,1.74,TH,1714072964
280,kerikeri,-35.2268,173.9474,287.28,98,100,1.35,NZ,1714072965
281,zeya,53.75,127.2667,274.35,76,100,6.7,RU,1714072965
282,uturoa,-16.7333,-151.4333,301.25,76,100,4.15,PF,1714072965
283,hamilton,39.1834,-84.5333,287.69,36,86,2.32,US,1714072965
284,porto de moz,-1.7483,-52.2383,298.39,87,100,2.26,BR,1714072966
285,malango,-2.9627,119.9001,292.9,98,99,0.99,ID,1714072966
286,el granada,37.5027,-122.4694,285.25,80,100,7.53,US,1714072890
287,usogorsk,63.4106,48.6872,273.88,98,100,3.17,RU,1714072967
288,la passe,45.5549,-0.8967,283.96,82,100,3.88,FR,1714072967
289,robertsport,6.7533,-11.3686,301.53,80,100,4.43,LR,1714072968
290,itambacuri,-18.0311,-41.685,300.9,60,58,2.21,BR,1714072968
291,colares,38.7992,-9.4469,287.61,78,0,8.75,PT,1714072968
292,berezovo,63.9381,65.0419,267.79,94,100,1.52,RU,1714072968
293,belaya kholunitsa,58.84,50.8528,282.32,71,100,3.84,RU,1714072969
294,broken hill,-31.95,141.4333,282.21,75,0,3.85,AU,1714072969
295,moussoro,13.6408,16.4901,309.02,9,0,2.45,TD,1714072969
296,yerofey pavlovich,53.9667,121.9667,269.59,52,1,5.45,RU,1714072969
297,masallatah,32.6167,14.0,287.21,56,68,3.21,LY,1714072970
298,tolanaro,-25.0319,46.9987,296.8,86,1,5.54,MG,1714072970
299,cavalaire-sur-mer,43.174,6.5272,285.01,67,86,1.83,FR,1714072970
300,zhangye,38.9342,100.4517,286.25,33,93,7.88,CN,1714072970
301,margate,51.3813,1.3862,279.77,91,100,1.38,GB,1714072971
302,iskateley,67.6803,53.1512,272.3,97,100,5.4,RU,1714072971
303,abhar,36.1468,49.218,283.92,56,0,2.82,IR,1714072971
304,saudarkrokur,65.7461,-19.6394,276.02,88,100,2.37,IS,1714072971
305,tabou,4.423,-7.3528,301.56,81,100,3.98,CI,1714072972
306,onega,63.9061,38.1404,274.9,90,100,4.9,RU,1714072972
307,ballina,-28.8667,153.5667,291.45,83,74,4.84,AU,1714072972
308,plast,54.3691,60.8136,280.94,64,100,3.8,RU,1714072972
309,bahir dar,11.5936,37.3908,298.18,37,100,4.64,ET,1714072973
310,mount pearl,47.5166,-52.7813,284.28,65,6,7.35,CA,1714072973
311,nogliki,51.8333,143.1667,277.75,94,100,2.12,RU,1714072973
312,papao,-17.75,-149.55,300.91,77,92,2.19,PF,1714072973
313,maraba,-5.3686,-49.1178,303.01,75,100,1.82,BR,1714072974
314,naze,28.3667,129.4833,293.81,94,100,3.67,JP,1714072974
315,enewetak,11.3474,162.3373,300.58,76,97,9.8,MH,1714072974
316,tsiombe,-25.3,45.4833,296.54,87,17,5.94,MG,1714072975
317,pachino,36.7186,15.0907,287.17,75,8,9.19,IT,1714072975
318,san antonio de pale,-1.4014,5.6325,301.73,81,18,3.08,GQ,1714072975
319,kolonia town,6.964,158.206,301.63,81,71,9.97,FM,1714072975
320,tarawa,1.419,172.984,301.79,80,19,6.91,KI,1714072976
321,isangel,-19.55,169.2667,296.63,80,2,2.56,VU,1714072969
322,labytnangi,66.6572,66.4183,263.82,96,97,2.87,RU,1714072976
323,pemangkat,1.1667,108.9667,300.84,78,46,1.46,ID,1714072976
